"learncode_array","total_pct","professional_pct","learningtocode_pct","other_pct"
"Other online resources (e.g., videos, blogs, forum)",0.8013,0.7991,0.7914,0.8336
"Books / Physical media",0.5180,0.5318,0.3831,0.4617
"Hackathons (virtual or in-person)",0.0802,0.0810,0.0867,0.0667
"Coding Bootcamp",0.0981,0.0934,0.1983,0.0779
"Online Courses or Certification",0.4928,0.4969,0.5890,0.3766
"On the job training",0.4606,0.5068,0.1132,0.1976
"Friend or family member",0.1133,0.1081,0.1601,0.1375
"Colleague",0.2341,0.2544,0.1120,0.0965
"Other (please specify):",0.0622,0.0593,0.0590,0.0971
"School (i.e., University, College, etc)",0.5014,0.5145,0.5205,0.3414
